source_domain,lookalike_domain,same_ip_domain,screenshot,crypto_address,chain,discovery_method,source_domain_ip,lookalike_domain_ip,same_ip_domain_ip,inreach_checked,inreach_intel_available,inreach_intel_summary
login.ocportaltrader.live,ocportaltrader.live,,https://urlscan.io/screenshots/3e372bba-dcd3-4154-8bcd-e35af528ea13.png,0xa578b689aef6c214a84cd2a99a9fd69e1c989763,eth,lookalike_target,UNRESOLVED,UNRESOLVED,,Yes,Yes,"Platforms: Website:ocportaltrader.live, Website:mail.ocportaltrader.live, Website:247profits.live"
login.ocportaltrader.live,ocportaltrader.live,,https://urlscan.io/screenshots/3e372bba-dcd3-4154-8bcd-e35af528ea13.png,0xcbe641cd17a434f49f8842a443b952d0cb9724e7,eth,lookalike_target,UNRESOLVED,UNRESOLVED,,Yes,Yes,"Platforms: Website:ocportaltrader.live, Website:mail.ocportaltrader.live, Website:247profits.live"
oc.simplertrade.live,ocportaltrader.live,,https://urlscan.io/screenshots/3e372bba-dcd3-4154-8bcd-e35af528ea13.png,38Ph4E3UNbDRAkZKBWpA8v2i1ZYMFvx1Q2,btc,lookalike_target,199.59.243.228,UNRESOLVED,,Yes,Yes,"Platforms: Website:ocportaltrader.live, Website:mail.ocportaltrader.live, Website:247profits.live"
oc.simplertrade.live,ocportaltrader.live,,https://urlscan.io/screenshots/3e372bba-dcd3-4154-8bcd-e35af528ea13.png,0xa578b689aef6c214a84cd2a99a9fd69e1c989763,eth,lookalike_target,199.59.243.228,UNRESOLVED,,Yes,Yes,"Platforms: Website:ocportaltrader.live, Website:mail.ocportaltrader.live, Website:247profits.live"
oc.simplertrade.live,ocportaltrader.live,,https://urlscan.io/screenshots/3e372bba-dcd3-4154-8bcd-e35af528ea13.png,0xcbe641cd17a434f49f8842a443b952d0cb9724e7,eth,lookalike_target,199.59.243.228,UNRESOLVED,,Yes,Yes,"Platforms: Website:ocportaltrader.live, Website:mail.ocportaltrader.live, Website:247profits.live"
decentrawealthnetwork.com,ocportaltrader.live,,https://urlscan.io/screenshots/3e372bba-dcd3-4154-8bcd-e35af528ea13.png,38Ph4E3UNbDRAkZKBWpA8v2i1ZYMFvx1Q2,btc,lookalike_target,UNRESOLVED,UNRESOLVED,,Yes,Yes,"Platforms: Website:ocportaltrader.live, Website:mail.ocportaltrader.live, Website:247profits.live"
decentrawealthnetwork.com,ocportaltrader.live,,https://urlscan.io/screenshots/3e372bba-dcd3-4154-8bcd-e35af528ea13.png,0xa578b689aef6c214a84cd2a99a9fd69e1c989763,eth,lookalike_target,UNRESOLVED,UNRESOLVED,,Yes,Yes,"Platforms: Website:ocportaltrader.live, Website:mail.ocportaltrader.live, Website:247profits.live"
decentrawealthnetwork.com,ocportaltrader.live,,https://urlscan.io/screenshots/3e372bba-dcd3-4154-8bcd-e35af528ea13.png,0xcbe641cd17a434f49f8842a443b952d0cb9724e7,eth,lookalike_target,UNRESOLVED,UNRESOLVED,,Yes,Yes,"Platforms: Website:ocportaltrader.live, Website:mail.ocportaltrader.live, Website:247profits.live"
broker.simplertrade.live,ocportaltrader.live,,https://urlscan.io/screenshots/3e372bba-dcd3-4154-8bcd-e35af528ea13.png,38Ph4E3UNbDRAkZKBWpA8v2i1ZYMFvx1Q2,btc,lookalike_target,199.59.243.228,UNRESOLVED,,Yes,Yes,"Platforms: Website:ocportaltrader.live, Website:mail.ocportaltrader.live, Website:247profits.live"
broker.simplertrade.live,ocportaltrader.live,,https://urlscan.io/screenshots/3e372bba-dcd3-4154-8bcd-e35af528ea13.png,0xa578b689aef6c214a84cd2a99a9fd69e1c989763,eth,lookalike_target,199.59.243.228,UNRESOLVED,,Yes,Yes,"Platforms: Website:ocportaltrader.live, Website:mail.ocportaltrader.live, Website:247profits.live"
broker.simplertrade.live,ocportaltrader.live,,https://urlscan.io/screenshots/3e372bba-dcd3-4154-8bcd-e35af528ea13.png,0xcbe641cd17a434f49f8842a443b952d0cb9724e7,eth,lookalike_target,199.59.243.228,UNRESOLVED,,Yes,Yes,"Platforms: Website:ocportaltrader.live, Website:mail.ocportaltrader.live, Website:247profits.live"
